Sample in Buffer,Sample in Window,TRIGGER,SystolicCore0/mem2serial_pmatrix_in[0][0]_511[7:0],SystolicCore0/mem2serial_pmatrix_in[0][1]_509[7:0],SystolicCore0/mem2serial_pmatrix_in[0][2]_507[7:0],SystolicCore0/mem2serial_pmatrix_in[0][3]_505[7:0],SystolicCore0/mem2serial_pmatrix_in[0][4]_503[7:0],SystolicCore0/mem2serial_pmatrix_in[0][5]_501[7:0],SystolicCore0/mem2serial_pmatrix_in[0][6]_499[7:0],SystolicCore0/mem2serial_pmatrix_in[0][7]_497[7:0],SystolicCore0/mem2serial_pmatrix_in[0][8]_495[7:0],SystolicCore0/mem2serial_pmatrix_in[0][9]_493[7:0],SystolicCore0/mem2serial_pmatrix_in[0][10]_491[7:0],SystolicCore0/mem2serial_pmatrix_in[0][11]_489[7:0],SystolicCore0/mem2serial_pmatrix_in[0][12]_487[7:0],SystolicCore0/mem2serial_pmatrix_in[0][13]_485[7:0],SystolicCore0/mem2serial_pmatrix_in[0][14]_483[7:0],SystolicCore0/mem2serial_pmatrix_in[0][15]_481[7:0],SystolicCore0/mem2serial_pmatrix_in[1][0]_479[7:0],SystolicCore0/mem2serial_pmatrix_in[1][1]_477[7:0],SystolicCore0/mem2serial_pmatrix_in[1][2]_475[7:0],SystolicCore0/mem2serial_pmatrix_in[1][3]_473[7:0],SystolicCore0/mem2serial_pmatrix_in[1][4]_471[7:0],SystolicCore0/mem2serial_pmatrix_in[1][5]_469[7:0],SystolicCore0/mem2serial_pmatrix_in[1][6]_467[7:0],SystolicCore0/mem2serial_pmatrix_in[1][7]_465[7:0],SystolicCore0/mem2serial_pmatrix_in[1][8]_463[7:0],SystolicCore0/mem2serial_pmatrix_in[1][9]_461[7:0],SystolicCore0/mem2serial_pmatrix_in[1][10]_459[7:0],SystolicCore0/mem2serial_pmatrix_in[1][11]_457[7:0],SystolicCore0/mem2serial_pmatrix_in[1][12]_455[7:0],SystolicCore0/mem2serial_pmatrix_in[1][13]_453[7:0],SystolicCore0/mem2serial_pmatrix_in[1][14]_451[7:0],SystolicCore0/mem2serial_pmatrix_in[1][15]_449[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
1,1,0,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
2,2,0,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
3,3,0,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
4,4,0,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
5,5,0,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
6,6,0,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
7,7,0,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
8,8,0,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
9,9,0,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
10,10,0,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
11,11,0,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
12,12,0,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
13,13,0,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
14,14,0,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
15,15,0,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
16,16,0,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
17,17,0,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
18,18,0,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
19,19,0,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
20,20,0,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
21,21,0,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
22,22,0,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
23,23,0,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
24,24,0,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
