Sample in Buffer,Sample in Window,TRIGGER,SystolicCore0/serial2mem_opA/uart_ready_rx_out,SystolicCore0/serial2mem_opA/nreset,SystolicCore0/serial2mem_opA/rw,SystolicCore0/serial2mem_opA/valid_i,SystolicCore0/serial2mem_opA/rready_i,SystolicCore0/serial2mem_opA/rvalid_o,SystolicCore0/serial2mem_opA/ready_o,SystolicCore0/serial2mem_opA/single_port_ram_en,SystolicCore0/serial2mem_opA/in_data[3:0],SystolicCore0/serial2mem_opA/out_data[63:0],SystolicCore0/serial2mem_opA/single_port_ram_di_reg[63:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
1,1,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
2,2,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
3,3,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
4,4,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
5,5,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
6,6,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
7,7,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
8,8,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
9,9,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
10,10,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
11,11,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
12,12,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
13,13,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
14,14,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
15,15,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
16,16,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
17,17,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
18,18,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
19,19,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
20,20,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
21,21,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
22,22,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
23,23,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
24,24,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
25,25,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
26,26,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
27,27,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
28,28,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
29,29,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
30,30,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
31,31,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
32,32,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
33,33,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
34,34,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
35,35,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
36,36,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
37,37,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
38,38,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
39,39,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
40,40,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
41,41,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
42,42,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
43,43,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
44,44,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
45,45,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
46,46,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
47,47,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
48,48,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
49,49,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
50,50,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
51,51,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
52,52,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
53,53,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
54,54,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
55,55,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
56,56,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
57,57,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
58,58,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
59,59,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
60,60,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
61,61,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
62,62,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
63,63,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
64,64,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
65,65,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
66,66,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
67,67,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
68,68,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
69,69,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
70,70,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
71,71,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
72,72,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
73,73,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
74,74,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
75,75,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
76,76,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
77,77,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
78,78,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
79,79,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
80,80,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
81,81,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
82,82,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
83,83,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
84,84,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
85,85,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
86,86,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
87,87,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
88,88,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
89,89,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
90,90,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
91,91,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
92,92,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
93,93,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
94,94,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
95,95,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
96,96,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
97,97,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
98,98,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
