+====================+===================+========================================================================================================================================================+
| Launch Setup Clock | Launch Hold Clock | Pin                                                                                                                                                    |
+====================+===================+========================================================================================================================================================+
| clk_125mhz         | clk_pl_0          | your_instance_name/inst/ila_core_inst/u_trig/U_TM/N_DDR_MODE.G_NMU[2].U_M/allx_typeA_match_detection.ltlib_v1_0_3_allx_typeA_inst/probeDelay1_reg[0]/D |
| clk_125mhz         | clk_pl_0          | reg_valid_data_reg/D                                                                                                                                   |
| clk_125mhz         | clk_pl_0          | counter_reg[2]/CE                                                                                                                                      |
| clk_125mhz         | clk_pl_0          | counter_reg[1]/CE                                                                                                                                      |
| clk_125mhz         | clk_pl_0          | counter_reg[0]/CE                                                                                                                                      |
| clk_125mhz         | clk_pl_0          | counter_reg[3]/CE                                                                                                                                      |
| clk_pl_0           | clk_pl_0          | data_reg[5]/D                                                                                                                                          |
| clk_pl_0           | clk_pl_0          | data_reg[6]/D                                                                                                                                          |
| clk_125mhz         | clk_pl_0          | data_reg[7]/CE                                                                                                                                         |
| clk_125mhz         | clk_pl_0          | data_reg[5]/CE                                                                                                                                         |
| clk_125mhz         | clk_pl_0          | data_reg[3]/CE                                                                                                                                         |
| clk_125mhz         | clk_pl_0          | data_reg[1]/CE                                                                                                                                         |
| clk_125mhz         | clk_pl_0          | data_reg[6]/CE                                                                                                                                         |
| clk_125mhz         | clk_pl_0          | data_reg[4]/CE                                                                                                                                         |
| clk_125mhz         | clk_pl_0          | data_reg[2]/CE                                                                                                                                         |
| clk_125mhz         | clk_pl_0          | data_reg[0]/CE                                                                                                                                         |
| clk_pl_0           | clk_pl_0          | data_reg[1]/D                                                                                                                                          |
| clk_pl_0           | clk_pl_0          | data_reg[7]/D                                                                                                                                          |
| clk_pl_0           | clk_pl_0          | data_reg[4]/D                                                                                                                                          |
| clk_pl_0           | clk_pl_0          | data_reg[2]/D                                                                                                                                          |
| clk_pl_0           | clk_pl_0          | data_reg[3]/D                                                                                                                                          |
| clk_pl_0           | clk_pl_0          | data_reg[0]/D                                                                                                                                          |
| clk_pl_0           | clk_pl_0          | last_enable_write_reg/D                                                                                                                                |
| clk_pl_0           | clk_pl_0          | your_instance_name/inst/ila_core_inst/shifted_data_in_reg[7][129]_srl8/D                                                                               |
+--------------------+-------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------+
