d3 b8 00 9c 39 22 1c 37 2e 5d 96 87 d5 64 3c 77
cf b4 da 9e 05 03 09 2c 14 2a 60 7c c0 96 5a 84
e0 ca fd 94 17 11 07 17 f7 51 5a 64 ff 96 63 67
f1 db f2 ab 21 66 6e 69 4f 4c a8 a9 05 b9 83 8f
f9 c7 fc c4 29 32 65 5a 5a 6f 7c 90 fe 77 3f 6f
f3 c2 1d d3 4b 5d 44 3b 7e 80 93 b2 c4 84 3a 7f
14 20 4c 3a 75 c3 e0 bf b3 0a 36 40 38 ff ca f1
14 11 25 0e 5a 92 96 68 a8 b9 cf 08 df b6 83 97
61 67 d8 66 d0 1a 0f e6 f5 12 37 0e 4f db ac d7
0b 2a 48 2c 6e 87 aa 78 89 81 8b b6 8d 39 40 4a
20 1d 50 2d 7a d7 a2 63 91 b1 b9 b8 cc 8f 47 7f
03 18 42 28 33 5c 46 4a 66 3a 94 63 64 26 2d 46
6c 71 c9 80 aa e0 ec bf 00 aa fd c4 cf 9c 54 93
b4 a2 d5 7a c3 ed ee b8 db d0 05 d7 9a 96 62 48
71 53 bf 50 8e 86 92 58 8b 72 85 56 3a 3b 24 0f
92 8c b5 74 82 7b 55 49 70 57 3d 2f 3b fd d0 b8
